,Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
2134,Kepler-444 f,0.0,0.001,0.057,0.07,0.0010400000000000001,880.0,740.0,2.772,9.7405,1.6909,6.7,36.44,5046.0,4.56,True,nexsci
3743,Kepler-1861 b,0.0,0.0,0.003,0.2,0.0173,801.0,673.0,3.043,40.0306,4.979,12.2,829.99,5855.0,4.23,True,nexsci
2974,WASP-41 b,0.10099999999999999,0.18600000000000003,0.13699999999999998,1.1,0.85,1444.0,1215.0,3.241,3.0524,2.6376,9.7,163.37,5545.0,4.53,True,nexsci
1551,Kepler-217 c,0.0,0.0,0.003,0.17,0.0128,1591.0,1338.0,3.0660000000000003,8.586,3.3494,12.1,1104.64,6171.0,4.03,True,nexsci
644,Kepler-1083 b,0.0,0.0,0.006,0.3,0.0354,583.0,490.0,2.989,33.4178,4.645,13.8,902.63,5049.0,4.58,True,nexsci
3269,NGTS-18 b,0.040999999999999995,0.034,0.045,1.21,0.409,1792.0,1507.0,2.84,3.0513,3.6010000000000004,12.9,1096.19,5610.0,4.16,True,nexsci
3420,EPIC 228836835 b,,,,0.1,0.0043,,932.0,3.045,0.7281,,12.0,150.12,3782.0,5.0,True,nexsci
795,Kepler-11 c,0.0,0.001,0.028999999999999998,0.26,0.009000000000000001,1022.0,859.0,2.532,13.0241,4.56,12.2,646.35,5663.0,4.37,True,nexsci
2839,Kepler-999 b,0.001,0.001,0.006,0.21,0.0191,1761.0,1480.0,3.035,5.9919,1.6219999999999999,10.9,545.06,6237.0,4.11,True,nexsci
3206,TOI-1431 b,1.371,0.42100000000000004,0.09300000000000001,1.49,3.12,2849.0,2396.0,3.542,2.6502,2.489,7.4,148.93,7690.0,4.15,True,nexsci
439,K2-3 c,0.0,0.0,0.046,0.14,0.00673,456.0,383.0,2.9360000000000004,24.6466,3.428,8.6,44.07,3896.0,4.73,True,nexsci
3607,HD 137496 b,0.011000000000000001,0.004,0.011000000000000001,0.12,0.012709999999999999,2537.0,2133.0,3.362,1.6212,3.28,8.2,155.32,5799.0,4.05,True,nexsci
193,K2-102 b,,,,0.12,0.00705,,,3.113,9.9156,2.66,10.6,188.18,4695.0,4.53,True,nexsci
1307,Kepler-1587 b,0.0,0.0,0.003,0.12,0.00733,1268.0,1066.0,3.108,9.406,4.882,12.6,1026.48,5933.0,4.3,True,nexsci
3077,LHS 1140 c,0.0,0.001,0.094,0.1,0.00554,511.0,430.0,3.1039999999999996,3.7779,1.1,8.8,14.99,3216.0,5.06,True,nexsci
3308,K2-325 b,,,,0.2,0.0172,504.0,424.0,3.045,6.93,,12.4,111.64,3287.0,4.84,True,nexsci
351,K2-231 b,,,,0.22,0.0214,,,3.028,13.8419,2.952,10.9,321.21,5695.0,4.48,True,nexsci
